"start_date","end_date","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr"
2016-01-26 16:00:00,2016-02-02,6752265.43427218,2509962.38576847,18206798.3318418,35438.0899585191,14378.6613356506,88372.2712284986,44568.0929820036,101.485510153693,7894120.4172935,64819.4596973887,6122.25937187066,725120.844079901,3010684.11199482,1519819.0694989,5959831.6701751,150894.479103915,150489.895906542,151221.954864627,812349.675931511,1493240584.99073,1493298059.00178,1493195339.73587,-4819186.5899629,-1912903.45010209,-21934862.6323255
2016-02-02 16:00:00,2016-02-09,6643825.76440476,2471242.37741144,17880026.2692348,34582.9077007422,14039.8781896154,86681.3178399644,44033.400570952,97.8323766921991,7800142.7932781,63318.43206397,5980.00929919449,713108.436488505,2953444.13398785,1489216.07561624,5852037.18007176,252967.672082292,252246.589538869,253570.057866089,296684.229470639,1492969260.56251,1492978904.28479,1492955041.78828,-700985.418660924,2140080.26987745,-17533729.6860142
2016-02-09 14:00:00,2016-02-16,7273567.3286768,2706995.07955008,19543371.0934625,41586.3958235994,17035.484901066,102472.258498151,47813.7594538461,146.409380878782,7988098.0413089,74573.7559557642,7274.5715329829,814996.835313815,3379573.62216803,1702502.85241062,6700543.55741609,276968.645442484,276116.632814869,277707.118915633,1087842.17472568,1496144308.07199,1496116210.40715,1496141703.71975,-3697441.29445512,-727801.477685223,-21320257.4910974
2016-02-16 16:00:00,2016-02-23,11326393.53536,4207289.59470432,30448936.0295942,106917.262069673,46549.6178943967,247104.6955929,70887.2527739424,789.012362980246,6790034.69046497,172844.361245112,19234.1784255693,1602314.77387738,6792310.33445615,3427558.5048274,13465595.7526328,257458.02794864,256935.88786059,257862.211930007,777030.124804054,1497315707.92456,1497354482.64303,1497254576.47693,-6563593.01934798,-2588887.21051315,-27274667.6793606
2016-02-23 22:00:00,2016-03-01,9393610.23702326,3489804.01009195,25264429.175878,74936.5706312714,32192.770651384,176006.690856946,59616.253585878,443.844438961685,7562704.10691545,125367.328460678,13510.4440707161,1213495.27170598,5173174.16274013,2607380.71682504,10265527.3221118,393771.04783437,392127.824374994,395372.986441518,113022.563607862,1496156419.07906,1496221777.31344,1496032087.40192,-2185866.82008459,1530679.05329908,-21636928.9398509
2016-03-01 19:00:00,2016-03-08,9412681.58041741,3494132.74307331,25286937.8092621,76118.5096983102,32727.0555088397,178943.6864426,59696.4173544509,455.478511560465,7468288.93581491,127171.833108663,13765.6634818273,1228318.59164135,5214061.94105311,2628758.39008493,10330973.6459456,276457.990116561,275586.456862841,277076.989417881,642815.830519717,1498170160.00171,1498253605.874,1498212231.54688,-2049317.54831879,1401059.38865245,-21498161.5470574
2016-03-08 15:00:00,2016-03-15,12861479.7266952,4776154.4396056,34561178.9859207,143088.567975024,63071.2441631089,327341.013807777,79207.9801298755,1285.88850324174,5420183.79258663,223472.364768558,25614.4263178889,2011550.35743417,8360341.17950148,4218814.27561701,16577292.6810557,361525.279861316,360282.905050091,362360.782894001,1370398.58374533,1500948806.69332,1500952698.54526,1500892842.85968,-8118536.17712134,-3937162.25149798,-28708032.7439848
2016-03-15 20:00:00,2016-03-23,12533484.1869382,4657149.08179781,33710570.3490213,134749.048956255,59158.1063394763,308650.03556915,77669.3694290306,1158.81124137091,5627471.21785099,211761.515064486,24070.5054317819,1920932.23679226,8015069.36548627,4046126.43173692,15904783.049021,610670.1085839,608197.288406797,612766.103553605,141278.204509828,1498786051.28015,1498995665.07082,1498613108.00985,-5157190.13154766,-773785.982506549,-25905440.753739
2016-03-23 01:00:00,2016-03-29,11218224.9585551,4167811.58007952,30224213.4696315,112846.652442288,49440.0377057385,260011.503223856,69767.8717259405,901.526458218596,5591412.2464569,180094.843411688,20237.0231715436,1641199.56302627,6947602.92290932,3500064.93712536,13745824.2080987,335190.15516567,333755.569299133,336255.28960688,805285.76570602,1498102063.99943,1498281577.20825,1498067813.01652,1875275.40801408,5876835.48167347,-17685544.1547589
2016-03-29 20:00:00,2016-04-06,12942836.1128792,4810523.00410724,34790226.3010818,152116.275164065,66803.0559744653,348813.067614085,79692.0121672735,1400.31411919207,5878826.01091188,233368.015458247,26362.8678377137,2098857.71809317,8595904.23824839,4335929.28241102,17013967.0252874,651611.847024831,649161.312895682,653331.300816361,162469.935186302,1505080766.42121,1505036076.10383,1505154503.92489,1743843.44290806,5822875.43275169,-19358279.8567936
