"age","actual_depth","sed.rate","sed.rate.error","ugP_ugsed","ugP_mgsed","ugN_ugsed","ugN_mgsed"
1757.88902439024,17.25,NA,NA,0.000922012310606061,0.922012310606061,0.00260202776,2.6020277640882
1750.26707317073,17.5,NA,NA,NA,NA,NA,NA
1742.64512195122,17.75,NA,NA,0.000844708209693373,0.844708209693373,0.00219871578,2.19871577528876
1735.02317073171,18,NA,NA,NA,NA,NA,NA
1727.4012195122,18.25,NA,NA,0.000767905213270142,0.767905213270142,0.00243862905,2.43862904931689
1719.77926829268,18.5,NA,NA,NA,NA,NA,NA
1712.15731707317,18.75,NA,NA,0.000787008403361344,0.787008403361344,0.00252819108,2.52819108278364
1704.53536585366,19,NA,NA,NA,NA,NA,NA
1696.91341463415,19.25,NA,NA,0.000998890339425587,0.998890339425587,0.00231958693,2.31958693426166
1689.29146341463,19.5,NA,NA,NA,NA,NA,NA
1681.66951219512,19.75,NA,NA,0.00131683720930233,1.31683720930233,0.00265098044,2.65098043589744
1674.04756097561,20,NA,NA,NA,NA,NA,NA
1666.4256097561,20.25,NA,NA,0.000934522661523626,0.934522661523626,0.00202106665,2.0210666457215
1658.80365853659,20.5,NA,NA,NA,NA,NA,NA
1651.18170731707,20.75,NA,NA,0.000669765694076039,0.669765694076039,0.00213833046,2.1383304556331
1643.55975609756,21,NA,NA,NA,NA,NA,NA
1635.93780487805,21.25,NA,NA,0.000651043000914913,0.651043000914913,0.00201014905,2.01014904793103
1628.31585365854,21.5,NA,NA,NA,NA,NA,NA
1620.69390243902,21.75,NA,NA,0.00107836604095563,1.07836604095563,0.00213217482,2.13217481950559
1613.07195121951,22,NA,NA,NA,NA,NA,NA
1605.45,22.25,NA,NA,0.000834658753709199,0.834658753709199,0.0020585099,2.05850989517955
1597.82804878049,22.5,NA,NA,NA,NA,NA,NA
1590.20609756098,22.75,NA,NA,NA,NA,NA,NA
1582.58414634146,23,NA,NA,0.000813536371603856,0.813536371603856,0.0020654396,2.06543960332295
1574.96219512195,23.25,NA,NA,NA,NA,NA,NA
1567.34024390244,23.5,NA,NA,0.00082454851104707,0.82454851104707,0.00195231275,1.95231275385625
1559.71829268293,23.75,NA,NA,NA,NA,NA,NA
1552.09634146341,24,NA,NA,0.000742971512770138,0.742971512770138,0.00223330177,2.23330177494349
1544.4743902439,24.25,NA,NA,NA,NA,NA,NA
1536.85243902439,24.5,NA,NA,0.0006447064305685,0.6447064305685,0.0019869704,1.98697040342782
1529.23048780488,24.75,NA,NA,NA,NA,NA,NA
1521.60853658537,25,NA,NA,0.000593411996066863,0.593411996066863,0.00181528887,1.81528886682643
1513.98658536585,25.25,NA,NA,NA,NA,NA,NA
1506.36463414634,25.5,NA,NA,0.000521666666666667,0.521666666666667,0.00117857823,1.17857822909324
1498.74268292683,25.75,NA,NA,NA,NA,NA,NA
1491.12073170732,26,NA,NA,0.000491339691189827,0.491339691189827,0.00069385921,0.693859208929092
1483.4987804878,26.25,NA,NA,NA,NA,NA,NA
1475.87682926829,26.5,NA,NA,0.00053840206185567,0.53840206185567,0.00080776396,0.807763956733897
1468.25487804878,26.75,NA,NA,NA,NA,NA,NA
1460.63292682927,27,NA,NA,NA,NA,NA,NA
1453.01097560976,27.25,NA,NA,NA,NA,NA,NA
1445.38902439024,27.5,NA,NA,0.000536435272045028,0.536435272045028,0.00078767934,0.787679344477612
1437.76707317073,27.75,NA,NA,NA,NA,NA,NA
1430.14512195122,28,NA,NA,0.00057678313253012,0.57678313253012,0.000684537,0.684536998549042
1422.52317073171,28.25,NA,NA,NA,NA,NA,NA
1414.9012195122,28.5,NA,NA,0.000574401279707495,0.574401279707495,0.0008810587,0.881058701712226
1407.27926829268,28.75,NA,NA,NA,NA,NA,NA
1399.65731707317,29,NA,NA,0.000564951197870453,0.564951197870453,0.00096352912,0.963529125042941
1392.03536585366,29.25,NA,NA,NA,NA,NA,NA
1384.41341463415,29.5,NA,NA,0.000574365853658537,0.574365853658537,0.00088514032,0.885140323290148
1376.79146341463,29.75,NA,NA,NA,NA,NA,NA
1369.16951219512,30,NA,NA,0.000555599669148056,0.555599669148056,0.00099773713,0.997737125278219
1361.54756097561,30.25,NA,NA,NA,NA,NA,NA
1353.9256097561,30.5,NA,NA,0.000606473913043478,0.606473913043478,0.00069224478,0.692244776595745
1346.30365853659,30.75,NA,NA,NA,NA,NA,NA
1338.68170731707,31,NA,NA,0.000602591133004926,0.602591133004926,0.00123512317,1.23512317397035
1331.05975609756,31.25,NA,NA,NA,NA,NA,NA
1323.43780487805,31.5,NA,NA,0.000617829937998229,0.617829937998228,0.00145337543,1.45337542764177
1315.81585365854,31.75,NA,NA,NA,NA,NA,NA
1308.19390243902,32,NA,NA,0.00059409338168631,0.59409338168631,0.00121751527,1.21751527111111
1300.57195121951,32.25,NA,NA,0.000596512096774194,0.596512096774194,0.00114495743,1.14495742752416
1292.95,32.5,NA,NA,NA,NA,NA,NA
1285.32804878049,32.75,NA,NA,NA,NA,NA,NA
1277.70609756098,33,NA,NA,0.000649896324222432,0.649896324222432,0.00148356017,1.48356017096774
1270.08414634146,33.25,NA,NA,NA,NA,NA,NA
1262.46219512195,33.5,NA,NA,0.000585987903225806,0.585987903225806,0.00141733126,1.41733125564142
1254.84024390244,33.75,NA,NA,NA,NA,NA,NA
1247.21829268293,34,NA,NA,0.000621727423363712,0.621727423363712,0.0014924374,1.49243740165101
1239.59634146341,34.25,NA,NA,NA,NA,NA,NA
1231.9743902439,34.5,NA,NA,0.000670090132827324,0.670090132827324,0.00130016828,1.30016827626084
1224.35243902439,34.75,NA,NA,NA,NA,NA,NA
1216.73048780488,35,NA,NA,0.000619005235602094,0.619005235602094,0.00123412178,1.23412178125
1209.10853658537,35.25,NA,NA,NA,NA,NA,NA
1201.48658536585,35.5,NA,NA,0.000798322841726619,0.798322841726619,0.00174487558,1.74487558199465
1193.86463414634,35.75,NA,NA,NA,NA,NA,NA
1186.24268292683,36,NA,NA,0.000948338788870704,0.948338788870704,0.00178024427,1.78024426520681
1178.62073170732,36.25,NA,NA,NA,NA,NA,NA
1170.99878048781,36.5,NA,NA,0.00112579136690647,1.12579136690647,0.00200817834,2.00817834124527
1163.37682926829,36.75,NA,NA,NA,NA,NA,NA
1155.75487804878,37,NA,NA,0.000919121338912134,0.919121338912134,0.00194355381,1.94355380779661
1148.13292682927,37.25,NA,NA,NA,NA,NA,NA
