CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes,NEW NOTES
FMP,FMP05750,FMP05750,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/23/2008,0,0,Deposition-Dry,805.8,Legacy_Deposition,Total Nitrogen,TPN,202.284,,202.284,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05750,FMP05750,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/23/2008,0,0,Deposition-Dry,805.8,Legacy_Deposition,Total Phosphorus,TP,16.507,,16.507,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05754,FMP05754,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/6/2008,0,0,Deposition-Dry,840.9,Legacy_Deposition,Total Nitrogen,TPN,341.588,,341.588,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05754,FMP05754,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/6/2008,0,0,Deposition-Dry,840.9,Legacy_Deposition,Total Phosphorus,TP,31.781,,31.781,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05757,FMP05757,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/13/2008,0,0,Deposition-Dry,1467.6,Legacy_Deposition,Total Nitrogen,TPN,137.345,,137.345,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05757,FMP05757,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/13/2008,0,0,Deposition-Dry,1467.6,Legacy_Deposition,Total Phosphorus,TP,2.397,,2.397,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05773,FMP05773,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/24/2008,0,0,Deposition-Dry,887.7,Legacy_Deposition,Total Nitrogen,TPN,84.573,,84.573,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05773,FMP05773,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/24/2008,0,0,Deposition-Dry,887.7,Legacy_Deposition,Total Phosphorus,TP,7.745,,7.745,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05776,FMP05776,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/4/2008,0,0,Deposition-Dry,1007.6,Legacy_Deposition,Total Nitrogen,TPN,69.289,Q,69.289,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,TN<NH4-N + NO2/3
FMP,FMP05776,FMP05776,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/4/2008,0,0,Deposition-Dry,1007.6,Legacy_Deposition,Total Phosphorus,TP,3.672,,3.672,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05784,FMP05784,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/12/2008,0,0,Deposition-Dry,713,Legacy_Deposition,Total Nitrogen,TPN,107.472,,107.472,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05784,FMP05784,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/12/2008,0,0,Deposition-Dry,713,Legacy_Deposition,Total Phosphorus,TP,2.397,,2.397,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05794,FMP05794,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/17/2008,0,0,Deposition-Dry,1290.3,Legacy_Deposition,Total Nitrogen,TPN,70.218,,70.218,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
