"date","LE_mm_d","LE_mm_d_min","LE_mm_d_max","L3E_m3_d","L3E_m3_d_min","L3E_m3_d_max"
2020-05-06,1.48448264247223,1.48019756008688,1.48944267497102,41284.4571563939,41165.2861434849,41422.3989842955
2020-05-07,2.20026016777907,2.19071688283644,2.21211726499959,61190.709834315,60925.3046843502,61520.4636543964
2020-05-08,3.55543543208537,3.53509657998975,3.57710092205216,98879.0421448121,98313.4050373593,99481.5739405471
2020-05-09,5.47957434811215,5.44532561927686,5.51899134944646,152390.634917204,151438.154815512,153486.848140762
2020-05-10,4.56107676315379,4.54196701031826,4.5810874336034,126846.601521627,126315.146488314,127403.111677564
2020-05-11,4.79999179104114,4.77908430857543,4.82277648487546,133490.988563033,132909.537463903,134124.646168391
2020-05-12,2.96235745927778,2.95281799559854,2.97754590731467,82385.1462525709,82119.8473745022,82807.5471714574
2020-05-13,3.4905984373452,3.4766473217315,3.50279803083531,97075.8818686891,96687.8919937262,97415.1607395617
2020-05-14,4.52992591736028,4.50366639232257,4.55466621195899,125980.275623464,125249.98063358,126668.319796682
2020-05-15,3.36311903900805,3.34816587341511,3.37881782709476,93530.5943669047,93114.7368104659,93967.1881845958
2020-05-16,4.47884434773646,4.44954783638917,4.50896043466217,124559.662938425,123744.907323947,125397.211499001
2020-05-17,3.15608770173485,3.1425368291037,3.17087756771878,87772.9141292616,87396.0552798779,88184.2302141338
2020-05-18,2.51005033828868,2.50176537661329,2.52118269155756,69806.182091085,69575.7717544841,70115.7802961628
2020-05-19,3.62532330019182,3.60867695414545,3.64871322367276,100822.670594241,100359.724554658,101473.160041684
2020-05-20,1.63312217967577,1.62486595796394,1.64372223738849,45418.2223011358,45188.6112421826,45713.0170100636
2020-05-21,2.24573167969349,2.23998631433577,2.25291753041374,62455.3030547119,62295.52059369,62655.1463790491
2020-05-22,2.88545762009008,2.87794473247311,2.8958108857265,80246.5101880961,80037.5717484878,80534.4414439871
2020-05-23,3.12991926612464,3.11821506351251,3.14662144402475,87045.1523974032,86719.6506788478,87509.6511582557
2020-05-24,3.79166326623261,3.77299953783387,3.81240416096821,105448.696527404,104929.645732594,106025.514710115
2020-05-25,3.31686588608672,3.29590077053696,3.3331238378006,92244.2631862659,91661.2092724449,92696.4077191685
2020-05-26,3.91706922657617,3.89819092491512,3.9344385451118,108936.320329012,108411.302107975,109419.372718042
2020-05-27,6.12702999173742,6.09413441397501,6.15721798113336,170396.810277663,169481.962214162,171236.358494124
2020-05-28,6.22840212757248,6.17323381164546,6.27085175876306,173216.037312723,171681.76947414,174396.590004989
2020-05-29,6.2004899787398,6.16447552441235,6.2399935602966,172439.781747547,171438.195636566,173538.402825117
2020-05-30,5.0248290627294,4.98241524067417,5.06258685641837,139743.863769924,138564.30695371,140793.933316898
2020-05-31,2.15810878756942,2.14580076817075,2.16417114050245,60018.4517017106,59676.1574336563,60187.0497996403
2020-06-01,5.25183556547154,5.22608997996974,5.28227874928523,146057.066746196,145341.064759238,146903.71209044
2020-06-02,5.78027152063951,5.74048999531675,5.81213987430591,160753.22480615,159646.873926178,161639.505079117
2020-06-03,6.02677319409083,5.99896918183005,6.05715272183276,167608.601545101,166835.353330461,168453.476571329
2020-06-04,3.78023374006059,3.76590214504197,3.79471107401176,105130.833744731,104732.262482527,105533.45810432
2020-06-05,3.51500250274399,3.49773339154095,3.53176769742304,97754.5752825243,97274.3097265702,98220.8265822317
2020-06-06,2.15543897134747,2.14679733281357,2.16450204184949,59944.2023233232,59703.8725642497,60196.2523878647
2020-06-07,3.01004762409898,3.00113345295362,3.02445557598604,83711.4416972003,83463.5326235565,84112.1364950876
2020-06-08,3.85482410348025,3.84462227074594,3.87170230932634,107205.241740334,106921.521934938,107674.635956335
2020-06-09,3.49784826236307,3.4883864540745,3.51237173539741,97277.5043611173,97014.3651315061,97681.4118795306
2020-06-10,3.73242084655579,3.7129035692724,3.75329418609669,103801.12513316,103258.336571838,104381.626694669
2020-06-11,5.46794602067908,5.42471282845905,5.50519207171657,152067.243338228,150864.899288607,153103.080979106
2020-06-12,4.24382569809287,4.222946402556,4.27347196374106,118023.63678725,117442.969585502,118848.119303233
2020-06-13,3.77082536489093,3.74125731092281,3.81020102109111,104869.180525966,104046.873129221,105964.243913635
2020-06-14,4.45163135470466,4.44001496572886,4.46997860436573,123802.851364632,123479.791802153,124313.100673649
2020-06-15,3.09490531219002,3.08116443040949,3.10930273305809,86071.3908728611,85689.2477416929,86471.7927960526
2020-06-16,3.95061394049123,3.93898554602519,3.96937799908964,109869.221303956,109545.827860749,110391.062348858
2020-06-17,4.39829845325719,4.37711811605932,4.41475046646824,122319.627632781,121730.588260689,122777.169145976
2020-06-18,4.34410552424471,4.3233029248751,4.36678163333665,120812.485957976,120233.95172804,121443.123748877
2020-06-19,4.55416974454857,4.53617090189557,4.57292506035342,126654.512705276,126153.952828648,127176.11060723
2020-06-20,2.31965540991296,2.30989179823577,2.32992609126486,64511.1715342545,64239.6389501433,64796.8060658467
2020-06-21,3.36499817782174,3.35031555314038,3.38032873166771,93582.8544766729,93174.5208442961,94009.2074533462
2020-06-22,5.93181394207893,5.89299666954292,5.9661507813429,164967.721106944,163888.186743193,165922.651618707
2020-06-23,6.25902659543716,6.21212363736365,6.29618801760509,174067.724287918,172763.321590512,175101.208343217
2020-06-24,4.34102243360167,4.32173299106047,4.36502037543883,120726.74314097,120190.290816518,121394.14198638
2020-06-25,6.14120584704638,6.10699632108131,6.17704991290568,170791.050314167,169839.660470569,171787.897807658
2020-06-26,5.90000119112826,5.85979969625488,5.93629079730948,164082.987182765,162964.956668135,165092.225451201
2020-06-27,4.33316218948039,4.30810328112222,4.35220070761933,120508.144484186,119811.239448788,121037.618432847
