"dateOn","dateOff","TN_wet_kg"
2011-02-01 21:00:00,2011-02-08 16:00:00,NA
2011-02-08 16:00:00,2011-02-15 16:00:00,51.1258369329805
2011-02-15 16:00:00,2011-02-22 19:00:00,73.0379218127838
2011-02-22 19:00:00,2011-03-01 17:00:00,235.700308251353
2011-03-01 17:00:00,2011-03-08 16:00:00,144.381200134525
2011-03-08 16:00:00,2011-03-31 17:00:00,NA
2011-03-31 17:00:00,2011-04-05 22:00:00,119.341893973622
2011-04-05 22:00:00,2011-04-12 15:00:00,85.8483401307205
2011-04-12 15:00:00,2011-04-19 16:00:00,345.006207488751
2011-04-19 16:00:00,2011-04-26 16:00:00,103.304815782072
2011-04-26 16:00:00,2011-05-03 15:00:00,171.102239003327
2011-05-03 15:00:00,2011-05-10 15:00:00,104.390522041624
2011-05-10 15:00:00,2011-05-17 15:00:00,27.6183889907141
2011-05-17 15:00:00,2011-05-24 16:00:00,NA
2011-05-24 16:00:00,2011-05-31 15:00:00,248.860325153809
2011-05-31 15:00:00,2011-06-07 15:00:00,200.197502377411
2011-06-07 15:00:00,2011-06-14 15:00:00,113.641665395275
2011-06-14 15:00:00,2011-06-21 16:00:00,209.903396676664
2011-06-21 16:00:00,2011-06-28 16:00:00,47.7169762244976
2011-06-28 16:00:00,2011-07-05 15:00:00,NA
2011-07-05 15:00:00,2011-07-12 16:00:00,8.32475994467362
2011-07-12 16:00:00,2011-07-19 15:00:00,NA
2011-07-19 15:00:00,2011-07-26 16:00:00,160.989754310372
2011-07-26 16:00:00,2011-08-02 16:00:00,76.5600859352818
2011-08-02 16:00:00,2011-08-09 16:00:00,NA
2011-08-09 16:00:00,2011-08-16 16:00:00,22.6725942939038
2011-08-16 16:00:00,2011-08-23 16:00:00,NA
2011-08-23 16:00:00,2011-08-30 16:00:00,20.1089719710221
2011-08-30 16:00:00,2011-09-06 16:00:00,94.0542076833708
2011-09-06 16:00:00,2011-09-13 16:00:00,NA
2011-09-13 16:00:00,2011-09-20 16:00:00,56.5809184452289
2011-09-20 16:00:00,2011-09-27 16:00:00,65.8363635479329
2011-09-27 16:00:00,2011-10-04 16:00:00,NA
2011-10-04 16:00:00,2011-10-11 15:00:00,132.195542822869
2011-10-11 15:00:00,2011-10-18 16:00:00,2.91769950721438
2011-10-18 16:00:00,2011-10-25 16:00:00,19.1118297160765
2011-10-25 16:00:00,2011-11-01 16:00:00,NA
2011-11-01 16:00:00,2011-11-08 17:00:00,69.5448505887148
2011-11-08 17:00:00,2011-11-15 17:00:00,115.143173468249
2011-11-15 17:00:00,2011-11-22 17:00:00,57.7721174555405
2011-11-22 17:00:00,2011-11-29 17:00:00,24.8349730119025
2011-11-29 17:00:00,2011-12-06 18:00:00,45.6680520127537
2011-12-06 18:00:00,2011-12-13 17:00:00,NA
2011-12-13 17:00:00,2011-12-20 17:00:00,76.4902251963497
2011-12-20 17:00:00,2011-12-27 17:00:00,16.3829852521958
2011-12-27 17:00:00,2012-01-03 17:00:00,31.5738381258781
2012-01-03 17:00:00,2012-01-10 17:00:00,51.5186184046578
2012-01-10 17:00:00,2012-01-17 16:00:00,50.5999226924734
2012-01-17 16:00:00,2012-01-24 16:00:00,70.3531786293249
2012-01-24 16:00:00,2012-01-31 17:00:00,133.100437836505
2012-01-31 17:00:00,2012-02-07 16:00:00,30.967145073887
2012-02-07 16:00:00,2012-02-14 17:00:00,35.8050153670955
2012-02-14 17:00:00,2012-02-21 17:00:00,NA
2012-02-21 17:00:00,2012-02-28 17:00:00,201.4340543157
2012-02-28 17:00:00,2012-03-06 17:00:00,113.420527138898
2012-03-06 17:00:00,2012-03-13 15:00:00,74.6336184816187
2012-03-13 15:00:00,2012-03-20 16:00:00,53.8031558876126
2012-03-20 16:00:00,2012-03-27 16:00:00,192.200698138022
2012-03-27 16:00:00,2012-04-03 16:00:00,114.573024869591
2012-04-03 16:00:00,2012-04-10 16:00:00,16.6036609202879
2012-04-10 16:00:00,2012-04-17 15:00:00,149.253573117999
2012-04-17 15:00:00,2012-04-24 15:00:00,128.190183030178
2012-04-24 15:00:00,2012-05-01 16:00:00,110.803814339069
2012-05-01 16:00:00,2012-05-08 16:00:00,68.3409506991619
2012-05-08 16:00:00,2012-05-15 15:00:00,NA
2012-05-15 15:00:00,2012-05-22 15:00:00,57.4944086698001
2012-05-22 15:00:00,2012-05-29 17:00:00,116.325616863819
2012-05-29 17:00:00,2012-06-05 16:00:00,126.5496836951
2012-06-05 16:00:00,2012-06-12 15:00:00,161.578208093299
2012-06-12 15:00:00,2012-06-19 16:00:00,249.425791552592
2012-06-19 16:00:00,2012-06-26 16:00:00,NA
2012-06-26 16:00:00,2012-07-03 16:00:00,179.570392335825
2012-07-03 16:00:00,2012-07-10 16:00:00,10.7475741849176
2012-07-10 16:00:00,2012-07-17 16:00:00,NA
2012-07-17 16:00:00,2012-07-24 16:00:00,NA
2012-07-24 16:00:00,2012-07-31 17:00:00,NA
2012-07-31 17:00:00,2012-08-07 16:00:00,NA
2012-08-07 16:00:00,2012-08-14 17:00:00,NA
2012-08-14 17:00:00,2012-08-21 16:00:00,NA
2012-08-21 16:00:00,2012-08-28 16:00:00,NA
2012-08-28 16:00:00,2012-09-04 16:00:00,NA
2012-09-04 16:00:00,2012-09-11 16:00:00,47.5764804057605
2012-09-11 16:00:00,2012-09-18 16:00:00,NA
2012-09-18 16:00:00,2012-09-25 16:00:00,NA
2012-09-25 16:00:00,2012-10-02 15:00:00,NA
2012-10-02 15:00:00,2012-10-09 17:00:00,96.3823873138085
2012-10-09 17:00:00,2012-10-16 16:00:00,118.654950997564
2012-10-16 16:00:00,2012-10-23 17:00:00,177.000243218837
2012-10-23 17:00:00,2012-10-30 15:00:00,92.397545015373
2012-10-30 15:00:00,2012-11-06 17:00:00,151.950366030983
2012-11-06 17:00:00,2012-11-13 17:00:00,42.2039893416256
2012-11-13 17:00:00,2012-11-20 17:00:00,86.1086871798157
2012-11-20 17:00:00,2012-11-27 17:00:00,64.1177014242894
2012-11-27 17:00:00,2012-12-04 17:00:00,55.219073263152
2012-12-04 17:00:00,2012-12-11 18:00:00,68.755946622433
2012-12-11 18:00:00,2012-12-18 17:00:00,96.3039306279331
2012-12-18 17:00:00,2012-12-24 17:00:00,135.460936229541
2012-12-24 17:00:00,2012-12-31 17:00:00,NA
2012-12-31 17:00:00,2013-01-08 17:00:00,65.370424950822
2013-01-08 17:00:00,2013-01-15 17:00:00,44.1031987637508
2013-01-15 17:00:00,2013-01-22 17:00:00,NA
2013-01-22 17:00:00,2013-01-29 18:00:00,92.2184333505948
2013-01-29 18:00:00,2013-02-05 17:00:00,24.3925661089098
2013-02-05 17:00:00,2013-02-12 17:00:00,35.4222906259637
2013-02-12 17:00:00,2013-02-19 18:00:00,132.598921943413
2013-02-19 18:00:00,2013-02-26 17:00:00,139.449729424001
2013-02-26 17:00:00,2013-03-05 17:00:00,197.975377342752
2013-03-05 17:00:00,2013-03-12 16:00:00,82.0059627474247
2013-03-12 16:00:00,2013-03-19 16:00:00,161.503176071677
2013-03-19 16:00:00,2013-03-26 20:00:00,36.129356438372
2013-03-26 20:00:00,2013-04-02 16:00:00,41.9078434138234
2013-04-02 16:00:00,2013-04-09 16:00:00,103.138165110911
2013-04-09 16:00:00,2013-04-16 15:00:00,160.153540382462
2013-04-16 15:00:00,2013-04-23 16:00:00,131.715754122653
2013-04-23 16:00:00,2013-04-30 16:00:00,19.2633287844013
2013-04-30 16:00:00,2013-05-07 16:00:00,46.592873077832
2013-05-07 16:00:00,2013-05-14 16:00:00,NA
2013-05-14 16:00:00,2013-05-21 15:00:00,31.120891329438
2013-05-21 15:00:00,2013-05-28 15:00:00,NA
2013-05-28 15:00:00,2013-06-04 16:00:00,42.4873013124572
2013-06-04 16:00:00,2013-06-11 16:00:00,NA
2013-06-11 16:00:00,2013-06-18 16:00:00,NA
2013-06-18 16:00:00,2013-06-25 16:00:00,360.992121071654
2013-06-25 16:00:00,2013-07-02 16:00:00,15.4590896839231
2013-07-02 16:00:00,2013-07-09 16:00:00,63.6141519916076
2013-07-09 16:00:00,2013-07-16 16:00:00,NA
2013-07-16 16:00:00,2013-07-23 17:00:00,NA
2013-07-23 17:00:00,2013-07-30 16:00:00,NA
2013-07-30 16:00:00,2013-08-06 16:00:00,92.0868153452056
2013-08-06 16:00:00,2013-08-13 16:00:00,NA
2013-08-13 16:00:00,2013-08-20 16:00:00,NA
2013-08-20 16:00:00,2013-08-27 16:00:00,118.983434886104
2013-08-27 16:00:00,2013-09-03 16:00:00,NA
2013-09-03 16:00:00,2013-09-10 15:00:00,123.969963986348
2013-09-10 15:00:00,2013-09-17 16:00:00,20.3334032222478
2013-09-17 16:00:00,2013-09-24 16:00:00,137.142292262199
2013-09-24 16:00:00,2013-10-01 15:00:00,148.470763755035
2013-10-01 15:00:00,2013-10-08 15:00:00,24.5225370409839
2013-10-08 15:00:00,2013-10-15 15:00:00,130.824425489773
2013-10-15 15:00:00,2013-10-22 16:00:00,NA
2013-10-22 16:00:00,2013-10-29 16:00:00,NA
2013-10-29 16:00:00,2013-11-05 17:00:00,91.7803499230532
2013-11-05 17:00:00,2013-11-12 17:00:00,143.823800731575
2013-11-12 17:00:00,2013-11-19 17:00:00,174.522416985703
2013-11-19 17:00:00,2013-11-26 17:00:00,19.7378325788785
2013-11-26 17:00:00,2013-12-03 17:00:00,62.9981781175001
2013-12-03 17:00:00,2013-12-10 17:00:00,22.5689723753629
2013-12-10 17:00:00,2013-12-17 17:00:00,67.5298734942118
2013-12-17 17:00:00,2013-12-24 16:00:00,NA
2013-12-24 16:00:00,2013-12-31 17:00:00,51.0714172144511
2013-12-31 17:00:00,2014-01-07 17:00:00,66.019877018198
2014-01-07 17:00:00,2014-01-14 17:00:00,239.155939602545
2014-01-14 17:00:00,2014-01-21 17:00:00,NA
2014-01-21 17:00:00,2014-01-28 17:00:00,33.0677814685199
